id,nombre,descripcion,categoria,cantidad,precio,fechaVencimiento,estado,imagen,createdAt,updatedAt,categoria_id,numero_lote,cantidad_maxima,cantidad_minima,dias_reabastecimiento,punto_reorden,ubicacion_general,clave,clave2,unidad_medida_id
"PROD-00295","AGUJA P/BIOPSIA HUESO JAMSHIDI 11 X 10","AGUJA P/BIOPSIA HUESO JAMSHIDI 11 X 10","FCB",15,0,,"disponible",,"2025-10-17T17:23:01.251Z","2025-10-17T02:00:00.000Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"010",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00296","AGUJA P/RAQUIA T.WHITACRE 22G 8.7X9.1 MM","AGUJA P/RAQUIA T.WHITACRE 22G 8.7X9.1 MM","FCB",93,0,,"disponible",,"2025-10-17T17:23:01.128Z","2025-10-17T17:23:01.127Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"011",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00297","AGUJA P/RAQUIA T/QUINKE 22 X 3.5 (NEGRA)","AGUJA P/RAQUIA T/QUINKE 22 X 3.5 (NEGRA)","FCB",37,0,,"disponible",,"2025-10-17T17:23:01.129Z","2025-11-04T04:37:15.458Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"012",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00298","ANOSCOPIO DESECHABLE","ANOSCOPIO DESECHABLE","FCB",0,0,,"DESCONTINUADO","","2025-10-17T17:23:01.358Z","2025-10-17T17:23:01.358Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"013",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00299","ANTIFAZ D/FOTOTERAPIA CHICO NEONATAL","ANTIFAZ D/FOTOTERAPIA CHICO NEONATAL","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.360Z","2025-10-17T17:23:01.359Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"014",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00300","ANTIFAZ D/FOTOTERAPIA GRANDE","ANTIFAZ D/FOTOTERAPIA GRANDE","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.361Z","2025-10-17T17:23:01.360Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"015",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00301","ANTIFAZ D/FOTOTERAPIA MEDIANO","ANTIFAZ D/FOTOTERAPIA MEDIANO","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.363Z","2025-10-17T17:23:01.362Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"016",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00302","ANTISEPTICO QUIRURGICO PARA MANO 1000 ML","ANTISEPTICO QUIRURGICO PARA MANO 1000 ML","FCB",16,0,,"disponible",,"2025-10-17T17:23:01.208Z","2025-11-01T00:10:55.219Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"017",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00303","APLICADOR DE PLASTICO CON ALGODON","APLICADOR DE PLASTICO CON ALGODON","FCB",100345,0,,"disponible",,"2025-10-17T17:23:01.364Z","2025-10-21T04:05:21.686Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"018",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00304","APOSITO TRANSPARENTE IV ADULTO","APOSITO TRANSPARENTE IV ADULTO","FCB",868,0,,"disponible",,"2025-10-17T17:23:01.548Z","2025-11-04T08:04:59.016Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"019",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00305","APOSITO TRANSPARENTE IV PEDIATRICO","APOSITO TRANSPARENTE IV PEDIATRICO","FCB",1102,0,,"disponible",,"2025-10-17T17:23:01.543Z","2025-11-04T04:28:30.182Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"020",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00306","BOLSA ANTIRREFLUJO PARA RECOLECCION DE ORINA","BOLSA ANTIRREFLUJO PARA RECOLECCION DE ORINA","FCB",7,0,,"disponible",,"2025-10-17T17:23:01.042Z","2025-10-28T20:26:26.705Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"021",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00307","BOLSA DE COLOSTOMIA FILT/CARB/A CONVATEC","BOLSA DE COLOSTOMIA FILT/CARB/A CONVATEC","FCB",30,0,,"disponible",,"2025-10-17T17:23:00.992Z","2025-10-17T02:00:00.000Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"022",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00308","BOLSA DE NEFROSTOMIA","BOLSA DE NEFROSTOMIA","FCB",9,0,,"disponible",,"2025-10-17T17:23:01.052Z","2025-11-04T04:28:30.182Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"023",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00309","BOLSA OCLUSIVA PARA R.NACIDO","BOLSA OCLUSIVA PARA R.NACIDO","FCB",18,0,,"disponible",,"2025-10-17T17:23:01.045Z","2025-10-17T17:23:01.044Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"024",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00310","BOLSA DE COLOSTOMIA NEONATAL","BOLSA DE COLOSTOMIA NEONATAL","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.246Z","2025-10-17T17:23:01.246Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"025",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00311","BOLSA DE COLOSTOMIA INFANTIL","BOLSA DE COLOSTOMIA INFANTIL","FCB",33,0,,"disponible",,"2025-10-17T17:23:01.047Z","2025-10-17T17:23:01.046Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"026",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00312","BOLSA DE NUTRICION ENTERAL 1500 MLS CON BOMBA","BOLSA DE NUTRICION ENTERAL 1500 MLS CON BOMBA","FCB",46,0,,"disponible",,"2025-10-17T17:23:01.465Z","2025-11-04T02:47:20.446Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"027",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00313","BOLSA DE CADAVER CON ACCESORIOS.","BOLSA DE CADAVER CON ACCESORIOS.","FCB",26,0,,"disponible",,"2025-10-17T17:23:01.127Z","2025-11-04T02:54:24.122Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"028",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00314","BOLSA DE  ENEMA","BOLSA DE  ENEMA","FCB",26,0,,"disponible",,"2025-10-17T17:23:01.005Z","2025-11-04T03:03:18.905Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"029",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00315","BOLSA RECOLECTORA BLANCA DE 1000 MLS","BOLSA RECOLECTORA BLANCA DE 1000 MLS","FCB",188,0,,"disponible",,"2025-10-17T17:23:01.550Z","2025-11-04T03:14:02.505Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"030",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00316","BOLSA RECOLECTORA AMARILLA DE 1500 MLS","BOLSA RECOLECTORA AMARILLA DE 1500 MLS","FCB",139,0,,"disponible",,"2025-10-17T17:23:01.541Z","2025-11-04T02:54:24.122Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"031",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00317","BOLSA RECOLECTORA ROSA  DE 3000 MLS","BOLSA RECOLECTORA ROSA  DE 3000 MLS","FCB",71,0,,"disponible",,"2025-10-17T17:23:01.117Z","2025-10-17T02:00:00.000Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"032",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00318","BURETA GRADUADA PARA DIURESIS DE 1000 ML","BURETA GRADUADA PARA DIURESIS DE 1000 ML","FCB",8,0,,"disponible",,"2025-10-17T17:23:01.366Z","2025-10-17T17:23:01.366Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"033",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00319","CAMARA ESPACIADORA INFANTIL (NEONATAL)","CAMARA ESPACIADORA INFANTIL (NEONATAL)","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.264Z","2025-10-17T17:23:01.263Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"034",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00009","ANTISEPTICO AGUA OXIGENADA  CONCENTRACION 2.5 AL 3.5% 500ML","ANTISEPTICO AGUA OXIGENADA  CONCENTRACION 2.5 AL 3.5% 500ML","DCB",1,0,,"disponible",,"2025-10-17T17:23:01.506Z","2025-11-04T02:54:24.122Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0340103",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00320","CAMARA ESPACIADORA PEDIATRICO","CAMARA ESPACIADORA PEDIATRICO","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.266Z","2025-10-17T17:23:01.265Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"035",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00321","CAMARA ESPACIADORA ADULTO","CAMARA ESPACIADORA ADULTO","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.267Z","2025-10-17T17:23:01.266Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"036",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00322","CANULA OROFARINGEA PLASTICO # 5 (100MM )","CANULA OROFARINGEA PLASTICO # 5 (100MM )","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.374Z","2025-10-17T17:23:01.373Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"037",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00323","CANULA OROFARINGEA PLASTICO #6 ( 110 MM)","CANULA OROFARINGEA PLASTICO #6 ( 110 MM)","FCB",17,0,,"disponible",,"2025-10-17T17:23:01.367Z","2025-10-28T15:22:20.357Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"038",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00324","CANULA P/TRAQUEOSTOMIA ADULTO  6  FR","CANULA P/TRAQUEOSTOMIA ADULTO  6  FR","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.393Z","2025-10-17T17:23:01.392Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"039",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00325","CANULA TRAQUEOS. PLATA JACKSON 4 FR 8MM","CANULA TRAQUEOS. PLATA JACKSON 4 FR 8MM","FCB",4,0,,"disponible",,"2025-10-17T17:23:01.375Z","2025-10-17T17:23:01.374Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"040",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00003","AGUJA HIP. DESECH 20 X 32 ( AMARILLA )","AGUJA HIP. DESECH 20 X 32 ( AMARILLA )","DCB",1446,0,,"disponible",,"2025-10-17T17:23:01.555Z","2025-11-04T08:04:59.016Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0403711",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00004","AGUJA HIP. DESEH. 21 X 32 ( VERDE )","AGUJA HIP. DESEH. 21 X 32 ( VERDE )","DCB",71,0,,"disponible",,"2025-10-17T17:23:01.319Z","2025-11-04T04:28:30.182Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0403745",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00006","AGUJA HIP. DESECH. 25 X 16 (NARANJA)","AGUJA HIP. DESECH. 25 X 16 (NARANJA)","DCB",519,0,,"disponible",,"2025-10-17T17:23:01.014Z","2025-10-30T19:28:51.046Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0403760",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00005","AGUJA HIP. DESECH. 22 X 32 ( NEGRA )","AGUJA HIP. DESECH. 22 X 32 ( NEGRA )","DCB",1459,0,,"disponible",,"2025-10-17T17:23:01.020Z","2025-11-04T08:00:07.780Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0403786",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00002","AGUJA DENTAL TIPO CARPULE 30G 20-25 MM. CAJA CON 100 PIEZAS","AGUJA DENTAL TIPO CARPULE 30G 20-25 MM. CAJA CON 100 PIEZAS","DCB",2,0,,"disponible",,"2025-10-17T17:23:01.304Z","2025-10-17T17:23:01.303Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0408041",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00326","CANULA TRAQUEOS. PLATA JACKSON 5FR (9MM)","CANULA TRAQUEOS. PLATA JACKSON 5FR (9MM)","FCB",9,0,,"disponible",,"2025-10-17T17:23:01.368Z","2025-10-17T17:23:01.368Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"041",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00327","CANULA TRAQUEOS. PLATA JACKSON 6 FR 10MM","CANULA TRAQUEOS. PLATA JACKSON 6 FR 10MM","FCB",6,0,,"disponible",,"2025-10-17T17:23:01.370Z","2025-10-17T17:23:01.369Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"042",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00328","CANULA TRAQUEOS. PLATA JACKSON 7 FR 11MM","CANULA TRAQUEOS. PLATA JACKSON 7 FR 11MM","FCB",5,0,,"disponible",,"2025-10-17T17:23:01.371Z","2025-11-01T00:10:55.219Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"043",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00329","CANULA TRAQUEOS. PLATA JACKSON 8 FR 12MM","CANULA TRAQUEOS. PLATA JACKSON 8 FR 12MM","FCB",8,0,,"disponible",,"2025-10-17T17:23:01.372Z","2025-10-17T17:23:01.371Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"044",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00330","CANULA TRAQUEOS. PLATA JACKSON 9 FR 13MM","CANULA TRAQUEOS. PLATA JACKSON 9 FR 13MM","FCB",3,0,,"disponible",,"2025-10-17T17:23:01.373Z","2025-10-17T17:23:01.372Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"045",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00331","CARTUCHO ENGRAP LAPAROSC 60 X2.5MM ROJO","CARTUCHO ENGRAP LAPAROSC 60 X2.5MM ROJO","FCB",0,0,,"DESCONTINUADO","","2025-10-17T17:23:01.268Z","2025-10-17T17:23:01.267Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"046",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00332","CARTUCHO ENGRAP LAPAROSC 60 3.5 MM AZUL","CARTUCHO ENGRAP LAPAROSC 60 3.5 MM AZUL","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.268Z","2025-10-17T17:23:01.268Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"047",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00333","CARTUCHO ENGRAP LAPAROSC 60 X3.8MM DORADO","CARTUCHO ENGRAP LAPAROSC 60 X3.8MM DORADO","FCB",0,0,,"DESCONTINUADO","","2025-10-17T17:23:01.269Z","2025-10-17T17:23:01.269Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"048",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00334","CARTUCHO  ENGRAP LINEAL 60-3.8 MM AZUL","CARTUCHO  ENGRAP LINEAL 60-3.8 MM AZUL","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.081Z","2025-10-17T17:23:01.080Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"049",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00335","CARTUCHO ENGRAP LINEAL 80-3.8 MM AZUL","CARTUCHO ENGRAP LINEAL 80-3.8 MM AZUL","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.082Z","2025-10-17T17:23:01.082Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"050",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00336","CARTUCHO ENGRAP LAPAROSC 60 X4.1MM VERDE","CARTUCHO ENGRAP LAPAROSC 60 X4.1MM VERDE","FCB",0,0,,"DESCONTINUADO","","2025-10-17T17:23:01.084Z","2025-10-17T17:23:01.084Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"051",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00337","CARTUCHO ENGRAP  LINEAL 60-4.8 MM VERDE","CARTUCHO ENGRAP  LINEAL 60-4.8 MM VERDE","FCB",12,0,,"disponible",,"2025-10-17T17:23:01.376Z","2025-10-17T17:23:01.375Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"052",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00338","CARTUCHO ENGRAP LINEAL 80- 4.8 MM VERDE","CARTUCHO ENGRAP LINEAL 80- 4.8 MM VERDE","FCB",18,0,,"disponible",,"2025-10-17T17:23:01.393Z","2025-11-04T08:55:06.740Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"053",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00339","CATETER C/S DE IMP. DE ACCESO VEN. 4.5 FR","CATETER C/S DE IMP. DE ACCESO VEN. 4.5 FR","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.397Z","2025-10-17T17:23:01.397Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"054",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00340","CATETER C/S DE IMP. DE ACCESO VEN. 5 FR","CATETER C/S DE IMP. DE ACCESO VEN. 5 FR","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.399Z","2025-10-17T17:23:01.398Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"055",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00341","CATETER C/S DE IMP. DE ACCESO VEN. 6 FR","CATETER C/S DE IMP. DE ACCESO VEN. 6 FR","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.252Z","2025-10-17T17:23:01.252Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"056",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00342","CATETER C/S DE IMP. DE ACCESO VEN . 8FR","CATETER C/S DE IMP. DE ACCESO VEN . 8FR","FCB",5,0,,"disponible",,"2025-10-17T17:23:01.201Z","2025-10-17T02:00:00.000Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"057",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00343","CATETER CENTRAL  4 FR. 2 LUMEN","CATETER CENTRAL  4 FR. 2 LUMEN","FCB",7,0,,"disponible",,"2025-10-17T17:23:01.119Z","2025-11-01T00:10:55.219Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"058",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00007","ALGODON EN LAMINAS","ALGODON EN LAMINAS","DCB",86,0,,"disponible",,"2025-10-17T17:23:01.485Z","2025-11-04T08:04:59.016Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0580153",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00344","CATETER CENTRAL 3 FR 2 LUMEN","CATETER CENTRAL 3 FR 2 LUMEN","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.253Z","2025-10-17T17:23:01.252Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"059",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00345","CATETER CENTRAL 5 FR. 2 LUMEN","CATETER CENTRAL 5 FR. 2 LUMEN","FCB",13,0,,"disponible",,"2025-10-17T17:23:01.130Z","2025-10-17T17:23:01.130Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"060",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00346","CATETER CENTRAL 5.5 FR. 3 LUMEN","CATETER CENTRAL 5.5 FR. 3 LUMEN","FCB",0,0,,"agotado",,"2025-10-17T17:23:01.320Z","2025-10-17T17:23:01.319Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"061",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00347","CATETER DE  LINEA MEDIA 4 FR","CATETER DE  LINEA MEDIA 4 FR","FCB",1,0,,"disponible",,"2025-10-17T17:23:01.254Z","2025-11-04T04:00:28.853Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"062",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00348","CATETER EPICUTANEO 1 FR 1 LUMEN","CATETER EPICUTANEO 1 FR 1 LUMEN","FCB",6,0,,"disponible",,"2025-10-17T17:23:01.243Z","2025-10-31T07:50:23.935Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"063",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00349","CATETER EPICUTANEO 2FR 1 LUMEN","CATETER EPICUTANEO 2FR 1 LUMEN","FCB",4,0,,"disponible",,"2025-10-17T17:23:01.182Z","2025-11-01T00:10:55.219Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"064",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00350","CATETER EPICUTANEO 2FR 2 LUMEN","CATETER EPICUTANEO 2FR 2 LUMEN","FCB",6,0,,"disponible",,"2025-10-17T17:23:01.181Z","2025-10-31T07:50:23.935Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"065",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00351","CATETER EPICUTANEO 3FR 1 LUMEN","CATETER EPICUTANEO 3FR 1 LUMEN","FCB",21,0,,"disponible",,"2025-10-17T17:23:01.157Z","2025-10-17T17:23:01.157Z","categoria_1760686606132_zw0ckli5v",,0,0,7,0,,"066",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
"PROD-00010","ANTISEPTICO. ALCOHOL DESNATURALIZADO 1 LT.","ANTISEPTICO. ALCOHOL DESNATURALIZADO 1 LT.","DCB",217,0,,"disponible",,"2025-10-17T17:23:01.517Z","2025-11-03T18:50:48.895Z","categoria_1760686583773_hhdq21tbn",,0,0,7,0,,"0660039",,"ad70acb1-0ef8-4167-b8d2-afd7bdc4ded3"
